Station,QTH,PrimaryPrefix,Continent,CQZone,ITUZone
E28AC,OK06FS,HS,AS,26,49
JO1YYP,PM95VW,JA,AS,25,45
LZ4AE,KN13US,LZ,EU,20,28
OG66X,KP24HP,OH,EU,15,18
RL3A,KO75KR,UA,EU,16,29
G4HSO,IO91UU,G,EU,14,27
W3OA,EM95MN,K,NA,5,8
WF7U,CN87XM,K,NA,3,6
EA1DAV,IN53UG,EA,EU,14,37
KC4YVA,FM17IL,K,NA,5,8
VE6WZ,DO21ST,VE,NA,4,2
BA6KC,OM65XH,BY,AS,24,44
WB6BEE,FM17OG,K,NA,5,8
VU3ESV,MK82UX,VU,AS,22,41
KM3T-3,FN42ET,K,NA,5,8
ON7KEC,JO21CE,ON,EU,14,27
KM3T-1,FN42ET,K,NA,5,8
LZ4UX,KN23TB,LZ,EU,20,28
S50U,JN66XD,S5,EU,15,28
VK6ANC,OF78WE,VK,OC,29,58
VE6WZ-2,DO21ST,VE,NA,4,2
ES2RR,KO29HG,ES,EU,15,29
K2PO,CN85LI,K,NA,3,6
JH7CSU1,PM95TP,JA,AS,25,45
NT6Q,DM13LC,K,NA,3,6
OG73X,KP24JO,OH,EU,15,18
DK3UA,JO64LF,DL,EU,14,28
W3LPL,FM19LG,K,NA,5,8
LY2XW,KO25OE,LY,EU,15,29
PJ2A,FK52ND,PJ2,SA,9,11
OZ4ADX,JO75ID,OZ,EU,14,18
DF2CK,JO71AD,DL,EU,14,28
SV8RV,KM07KS,SV,EU,20,28
RK3TD,LO26CI,UA,EU,16,29
BH4RRG,OM92JD,BY,AS,24,44
HG0Y,JN97WW,HA,EU,15,28
RN4WA,LO66PU,UA,EU,16,30
K5TR,EM00UF,K,NA,4,7
DC8YZ,JN59JI,DL,EU,14,28
W8WTS,EN91JJ,K,NA,4,8
DL5RMH,JN68BN,DL,EU,14,28
LZ3CB,KN32SN,LZ,EU,20,28
AA4VV,EM95UU,K,NA,5,8
K9IMM,EN52CV,K,NA,4,8
NH6HI,BL01FW,KH6,OC,31,61
G3YPP,JO02RV,G,EU,14,27
HA6PX,JN98WD,HA,EU,15,28
HB9CAT,JN46PN,HB,EU,14,28
DK2GOX,JN49WS,DL,EU,14,28
BI4RFP-1,OM94OO,BY,AS,24,44
VR2FUN,OL52XX,VR,AS,24,44
MM3NDH,IO86HA,GM,EU,14,27
IK4VET,JN54MM,I,EU,15,28
KD2OGR,FN20SL,K,NA,5,8
JA4ZRK,PM64PN,JA,AS,25,45
OK1HRA,JO60WA,OK,EU,15,28
K7MJG,DM33XH,K,NA,3,6
HA8TKS,JN96UV,HA,EU,15,28
K6FOD,DM04WC,K,NA,3,6
BH4RRG0,OM92ic,BY,AS,24,44
KM5SW,DM65ST,K,NA,4,7
OH4KA,KP31WN,OH,EU,15,18
HA1VHF,JN87GF,HA,EU,15,28
R6YY,LN04AN,UA,EU,16,29
EA8,IL38BP,EA8,AF,33,36
ON3URE,JO20CW,ON,EU,14,27
KB5NJD,EM12MP,K,NA,4,7
WA7AI,CN87PE,K,NA,3,6
UP2L,MO13SC,UN,AS,17,30
S53A,JN75FT,S5,EU,15,28
N6CTA,DM14CC,K,NA,3,6
N4RLI,FM08KD,K,NA,5,8
WC2L,FN32BS,K,NA,5,8
HS,OK03GR,HS,AS,26,49
KM3T,FN42ET,K,NA,5,8
UA9LIF,MO27SE,UA9,AS,17,30
K7EG,CN87WH,K,NA,3,6
EA1RX,IN52OD,EA,EU,14,37
M0WTL,IO80XS,G,EU,14,27
W2LB,FN12HW,K,NA,5,8
