"Station","QTH","PrimaryPrefix"
"W4KAZ","FM05OS","K"
"EA2CW","IN83MG","EA"
"RK3TD","LO26CI","UA"
"K7EK","EM77AT","K"
"LZ4UX","KN23TB","LZ"
"XQ6MO","FF31QG","CE"
"KM3T-3","FN42ET","K"
"BH4RRG0","OM92ic","BY"
"K5TR","EM00UF","K"
"BG8FZU","OM20BT","BY"
"DF2CK","JO71AD","DL"
"DL8TG","JO52IJ","DL"
"KC4YVA","FM17IL","K"
"LA6TPA","JP54RL","LA"
"F6IIT","JN06FQ","F"
"G3YPP","JO02RV","G"
"OZ4ADX","JO75ID","OZ"
"K7EG","CN87WH","K"
"W3UA","FN42gv","K"
"WF7U","CN87XM","K"
"BI4RFP","OM94OO","BY"
"R6YY","LN04AN","UA"
"DM5GG","JO61UE","DL"
"AA4VV","EM95UU","K"
"DL8LAS","JO54EF","DL"
"DE2SAX","JN49XK","DL"
"DK9IP","JN48FX","DL"
"DL1HWS","JO61AQ","DL"
"WC2L","FN32BS","K"
"W2NAF","FN21EI","K"
"5W1SA","AH46cc","5W"
"NC7J","DN31XB","K"
"VR2FUN","OL52XX","VR"
"VE6WZ-2","DO21ST","VE"
"K4PP","EM64PT","K"
"VE7CC","CN89RE","VE"
"K1TTT","FN32LL","K"
"NT6Q","DM13LC","K"
"TF4M","HP85FP","TF"
"OG66X","KP24HP","OH"
"HG5FMV","JN97KR","HA"
"ON6ZQ","JO20EQ","ON"
"ZL2KS","RE68XM","ZL"
"ZL3X","RE66IR","ZL"
"DM6EE","JO52KJ","DL"
"PJ2A","FK52ND","PJ2"
"WS3W","FM19NG","K"
"CX6VM","GF27XU","CX"
"SM7IUN","JO65MR","SM"
"W3LPL","FM19LG","K"
"UA0S","OO22GE","UA9"
"VU3ESV","MK82UX","VU"
"VR2FUN-74","OL63XX","VR"
"SM0TCZ","JO89XF","SM"
"DK8NE","JO50AL","DL"
"N6TV","CM97CF","K"
"KL7RA","BP40JS","KL"
"BD4QJP","PM01AA","BY"
"JP1LRT","PM95TQ","JA"
"VE2WU","FN35AA","VE"
"KD2OGR","FN20SL","K"
"BH3BBJ","OM89PD","BY"
"G4HSO","IO91UU","G"
"VE6WZ-1","DO21ST","VE"
"ZF1A","EK99IG","ZF"
"NH6HI","BL01FW","KH6"
"HS","OK03GR","HS"
"DL0LBS","JO50TK","DL"
"W2LB","FN12HW","K"
"JO1YYP","PM95VW","JA"
"OE9GHV","JN47WK","OE"
"W3OA","EM95MN","K"
"W4AX","EM74TC","K"
"HG0Y","JN97WW","HA"
"LZ7AA","KN12qq","LZ"
"IK4VET","JN54MM","I"
"VE6WZ","DO21ST","VE"
"WW1L","FN54OM","K"
"K9IMM","EN52CV","K"
"EA1DAV","IN53UG","EA"
"DC8YZ","JN59JI","DL"
"W2MV","FN31BA","K"
"KM3T-2","FN42et","K"
"S53A","JN75FT","S5"
"W3RGA","FN10pv","K"
"GI4DOH","IO74DP","GI"
"K3LR","EN91SE","K"
"W8WTS","EN91JJ","K"
"K6FOD","DM04WC","K"
"G3XBI","IO81MF","G"
"N4RLI","FM08KD","K"
"HA8TKS","JN96UV","HA"
"JA4ZRK","PM64PN","JA"
"KH6LC","BK29CW","KH6"
"KM3T-1","FN42ET","K"
"EA8BFK","IL38BO","EA8"
"EA5WU","IM99WU","EA"
"PA0MBO","JO32KE","PA"
"DE1LON","JO31HG","DL"
"K9LC","EN52MG","K"
"HB9DCO","JN37SM","HB"
"BA6KC","OM65XH","BY"
"SV8RV","KM07KS","SV"
"G0KTN","IO81TI","G"
"KQ8M","EN91ip","K"
"DK2GOX","JN49WS","DL"
"OH8KA","KP25QC","OH"
"EA1URA","IN73DK","EA"
"K2PO","CN85LI","K"
"3V8SS","JM54IQ","3V"
"N6WIN-7","DM34OB","K"
"AC0C-1","EM28QP","K"
"DL0PF","JN68RN","DL"
"N4ZR","FM19RL","K"
"DR4W","JN59SV","DL"
"NR4U","EM88LL","K"
"S53WW","JN76HE","S5"
"WA7LNW","DM37IE","K"
"VU2PTT","MK82TX","VU"
"SE5E","JO89LW","SM"
"MM3NDH","IO86HA","GM"
"N2QT","FM07II","K"
"VY0ERC","ER60TB","VE"
"BH4XDZ-1","OM94NO","BY"
"LZ4AE","KN13US","LZ"
"UP2L","MO13SC","UN"
"SV1CDN","KM17TX","SV"
"BH4DEG","OM81NL","BY"
"DM7EE","JO52JJ","DL"
"K3PA-1","EM29MD","K"
"JN1ILK","PM95ET","JA"
"DO4DXA","JN58QC","DL"
"HB9BXE","JN47EB","HB"
"W8WWV","EN91HM","K"
"DK0VH-5","JO31HB","DL"
"OH6BG","KP03QA","OH"
"G4ZFE","IO91PK","G"
"RU9CZD","MO07OD","UA9"
"BG4GOV3","PM01UB","BY"
"UY2RA","KO51AM","UR"
"BD7JNA","OL68ME","BY"
"OK1HRA","JO60WA","OK"
"WA7AI","CN87PE","K"
"R9IR","NO26KD","UA9"
"V51YJ","JG87NJ","V5"
"RL3A","KO75KR","UA"
"W6YX","CM87VJ","K"
"VE6AO","DO31AC","VE"
"KE3BK","CM97fs","K"
"DL0LA","JN68CM","DL"
"JJ2VLY","PM95JG","JA"
"HG8A","JN96RK","HA"
"N7TUG","CN87TQ","K"
"VK6ANC","OF78WE","VK"
"9A1CIG","JN83FM","9A"
"DK3UA","JO64LF","DL"
"S50ARX","JN65TW","S5"
"RN4WA","LO66PU","UA"
"OL9A","JN79XN","OK"
"W3DAN","EN91EF","K"
"IK3STG","JN55XK","I"
"MW0MUT","IO81LQ","GW"
"AA8FM","EM99VH","K"
"WZ7I","FN20KK","K"
"TF3Y","HP94BD","TF"
"F4VSQ","JN23QF","F"
"LZ3CB","KN32SN","LZ"
"BD7DT","OL67DN","BY"
"DK0TE","JN47RP","DL"
"W9XG","EN41RM","K"
"F8DGY","JN18GM","F"
"MM0ZBH","IO86IB","GM"
"TI7W","EK70LR","TI"
"9M2CNC","OJ03TB","9M2"
"JA1JRS","PM95VS","JA"
"VK2GEL","QF56OC","VK"
"N8DXE","EN91EF","K"
"DP7D","JO32PC","DL"
"KM3T","FN42ET","K"
"BH4XDZ","OM94NO","BY"
"BI4RFP-1","OM94OO","BY"
"BH4RRG","OM92JD","BY"
"JI1HFJ","PM95SS","JA"
"WE9V","EN52XN","K"
"DF7GB","JN49CX","DL"
"KV4TT","FM03PT","K"
"LZ5DI","KN12QP","LZ"
"OK4QRO","JN79XN","OK"
"HA1VHF","JN87GF","HA"
"NN3RP","FM18LW","K"
"WB6BEE","FM17OG","K"
"KG7V","CN77WA","K"
"ES2RR","KO29HG","ES"
"UA3REO","LO02RR","UA"
"DJ2BC","JO63PO","DL"
"K7MJG","DM33XH","K"
"KB5NJD","EM12MP","K"
"S50U","JN66XD","S5"
"JH7CSU1","PM95TP","JA"
"N4SVC","EM80MI","K"
"EY8ZE","MM48JN","EY"
"EA1RX","IN52OD","EA"
"ON3URE","JO20CW","ON"
"W1NT-6","FN42LU","K"
"F4EGZ","JN16JL","F"
"IK6HIR","JN63KW","I"
"3B8CW","LG89SX","3B8"
"BU2EQ","PL05RD","BV"
"VK2EBN","QF57LL","VK"
"HA5PP","JN97MO","HA"
"W1NT-2","FN42LU","K"
"3D2AG","RH91FV","3D2"
"N8AI","EL29CO","K"
"G0TAI","IO92PB","G"
"OH4KA","KP31WN","OH"
"S55OO","JN76HD","S5"
"GB7MNK","IO92PB","G"
"CT2IWW","IN51WF","CT"
"VE3NZ","FN03HT","VE"
"UC4C","LO21TM","UA"
"ET3AA","KJ99JA","ET"
"NA0B","FN00AM","K"
"BG4GOV","PM01QA","BY"
"WI5V","EM15FI","K"
"EU1ST","KO33TU","EU"
"G4AON","IO93PS","G"
"BG4WOM","OM91JQ","BY"
"KL2S","BP51IO","KL"
"RA3FY","KO85WQ","UA"
"K1RA","FM18CR","K"
"HA6PX","JN98WD","HA"
"CT7ANO","IM58HU","CT"
"BD8BIN","OM20BP","BY"
"PA8MM","JO22LL","PA"
"KO7SS","DM42OK","K"
"BD8CS","OM30BP","BY"
"G4PNF","JO02IF","G"
"UA4M","LO44WI","UA"
"DD5XX","JN48PS","DL"
"PA3EWP","JO21GU","PA"
"2E0EBM","JO01FQ","G"
"E20WUE","OK03GX","HS"
"W2AXR","FN03NG","K"
"BG8BIN","OM20BP","BY"
"YU1EW","KN04CP","YU"
"M0BLF","JO02bg","G"
"DN7DX","JN58QC","DL"
"YL2VW","KO26AU","YL"
"F5VLY","JN04HF","F"
"G4BVY-3","IO82UD","G"
"M0WJG","IO83UO","G"
"PA5WT","JO22HG","PA"
"TK0C","JN42JO","TK"
"UA4CC","LO31DN","UA"
"DL1REM","JO32PC","DL"
"HA5PP-2","JN97MO","HA"
"R3VL","KO96IJ","UA"
"JG1DLY","QM05DN","JA"
"HG3X","JN96EE","HA"
"HB9RB","JN37TO","HB"
"G4IRN","IO82MO","G"
"K5KHK","FN13DC","K"
"AA4SS","FM07AB","K"
"DL1AMQ","JO50uu","DL"
"OK1FCJ","JO70GA","OK"
"PR1T","GG87KO","PY"
"HB9CAT","JN46PN","HB"
"GM6DX","IO75XV","GM"
"OH6TX","KP22XK","OH"
"OK1TRJ","JN79MD","OK"
"VE6JY","DO33OR","VE"
"N4BAF","EM84TU","K"
"OH2LRG","KP21NK","OH"
"YU7GM","KN05EI","YU"
"R1LB","KO49TQ","UA"
"HI3AA","FK49SL","HI"
"RV7C","KN94BU","UA"
"OH2BBT","KP20HF","OH"
"VE2NMB","FN36MF","VE"
"7L4IOU","PM95wr","JA"
"VE3DXU","FN03HT","VE"
"OM6AAA","JN98LL","OM"
"DM5GG-2","JO61UE","DL"
"LY2XW","KO25OE","LY"
"DH5YM","JO61UC","DL"
"BG7IBS","OL52XX","BY"
"KI0KN","DN70KI","K"
"DL1AXX","JO31TM","DL"
"UR4QRH","KN77OU","UR"
"PA5KT","JO11WL","PA"
"LY3G","KO05NS","LY"
"DM3F","JO61UB","DL"
"DF2CK-4","JO71AD","DL"
"RZ9UN","NO35FL","UA9"
"BD1RX","OM89IT","BY"
"JH4UTP","PM64VN","JA"
"BD4TS","PM01DV","BY"
"DJ9IE","JO31VN","DL"
"F4EGZ","JN15MR","F"
"KO7SS-7","DM42OK","K"
"DG6FL","JO40da","DL"
"BH7JUO","OL62LL","BY"
"F4GTB","JN18NT","F"
"KP2RUM","FK77PR","KP2"
"OK1HMP","JO70EB","OK"
"F4EGZ","JN16JL","F"
"DL9GTB","JO63LX","DL"
"BH4RRG02","OM92IC","BY"
"KS4XQ","EM84QS","K"
"BG8DIV","OM20BR","BY"
"EA2RCF-4","IN82PU","EA"
"SM5TOG","JO89CS","SM"
"W6BB","CM87UV","K"
"NU6XB","CM87UV","K"
"PD2RPS","JO22VW","PA"
"RL5A-5","KO85OM","UA"
"WP3R","FK68OJ","KP4"
"G0EZY-1","IO93LN","G"
"F4GTB-2","JN18NT","F"
"F4SWL","JN18LL","F"
"JQ1BVI","PM95QR","JA"
"SZ1A","KM08QR","SV"
"ES5PC","KO38HJ","ES"
"NX5M","EM10QJ","K"
"G0EZY-2","IO93LN","G"
"F5AHD","JN37RO","F"
"IK2LFF","JN45KW","I"
"OE8TED","JN76AO","OE"
"DG8NCY","JO50HA","DL"
"OG73X","KP24JO","OH"
"BD7LAE","OL62LL","BY"
"DJ9FBA","JN39MF","DL"
"OE9SAU","JN47TF","OE"
"DU3TW","PK05MN","DU"
"OH0K","KP03SF","OH"
"M0NPT","IO93JA","G"
"HS8KVH","NK98SG","HS"
"G0EZY","IO93LN","G"
"IZ4OSH","JN54XS","I"
"PC5Q","JO22UB","PA"
"G0TMX","JO02IF","G"
"HZ1FI","LL74TH","HZ"
"OK2ZAW","JN79XN","OK"
"G3WW","IO82WT","G"
"PE1RDP","JO21QK","PA"
"SK3W","JP80JH","SM"
"W3DJS","EM83LL","K"
"E77DX","JN84IX","E7"
"3V9A","JM54IQ","3V"
"G0ORH","IO91IJ","G"
