Continent,DisplayName,Reports,Success,Host,Port
AF,ea1dx.lynxdxg.com:23,33,92,ea1dx.lynxdxg.com,23
AF,eadx.org:23,15,100,eadx.org,23
AF,f5mzn.org:9000,12,92,f5mzn.org,9000
AS,10.168.1.8:7300,15,75,10.168.1.8,7300
AS,5925.jp:7000,34,94,5925.jp,7000
AS,ar.bg4wom.club:7373,313,95,ar.bg4wom.club,7373
AS,arc.jg1vgx.net:7000,198,89,arc.jg1vgx.net,7000
AS,bg4gov.f3322.net:7373,336,91,bg4gov.f3322.net,7373
AS,bh3bbj.f3322.net:7300,171,93,bh3bbj.f3322.net,7300
AS,bh3bbj.f3322.net:7373,149,93,bh3bbj.f3322.net,7373
AS,ccc.jg1vgx.net:7373,111,79,ccc.jg1vgx.net,7373
AS,cluster.hrdlog.net:7373,43,90,cluster.hrdlog.net,7373
AS,dx.obninsk.org:41112,19,95,dx.obninsk.org,41112
AS,dx.w1nr.net:23,20,87,dx.w1nr.net,23
AS,dxc.bg4wom.club:7373,148,86,dxc.bg4wom.club,7373
AS,dxc.jg1vgx.net:7300,63,80,dxc.jg1vgx.net,7300
AS,dxc.pi4cc.net:8000,10,83,dxc.pi4cc.net,8000
AS,dxc.w3lpl.net:7373,56,86,dxc.w3lpl.net,7373
AS,gb7dxm.freeddns.org:7300,21,78,gb7dxm.freeddns.org,7300
AS,mayodx.ath.cx:7300,85,93,mayodx.ath.cx,7300
AS,on0dxk.dyndns.org:8000,46,88,on0dxk.dyndns.org,8000
AS,spots.bi4scc.net:7300,21,91,spots.bi4scc.net,7300
AS,w3lpl.net:7373,57,75,w3lpl.net,7373
AS,w9pa.net:7373,28,88,w9pa.net,7373
AS,www.bg4gov.cn:7373,518,91,www.bg4gov.cn,7373
AS,www.bg4wom.club:7373,127,92,www.bg4wom.club,7373
AS,www.bg8nud.com:7373,299,93,www.bg8nud.com,7373
EU,172.18.100.150:7373,84,75,172.18.100.150,7373
EU,212.51.10.184:8000,70,96,212.51.10.184,8000
EU,213.91.178.214:7200,11,79,213.91.178.214,7200
EU,216.172.112.208:23,93,84,216.172.112.208,23
EU,216.93.248.68:7000,143,98,216.93.248.68,7000
EU,217.182.223.38:23,35,95,217.182.223.38,23
EU,217.35.93.140:7300,50,98,217.35.93.140,7300
EU,217.35.93.140:7373,59,98,217.35.93.140,7373
EU,46.226.178.86:8000,23,100,46.226.178.86,8000
EU,77.174.195.163:7300,44,98,77.174.195.163,7300
EU,85.26.85.11:7300,23,96,85.26.85.11,7300
EU,85.90.163.103:7373,27,96,85.90.163.103,7373
EU,90.155.35.170:7300,33,79,90.155.35.170,7300
EU,azure.s53m.com:8000,70,97,azure.s53m.com,8000
EU,cluster.cdxc.org.uk:7300,30,88,cluster.cdxc.org.uk,7300
EU,cluster.dl9gtb.de:7373,92,89,cluster.dl9gtb.de,7373
EU,cluster.g3ldi.co.uk:7000,125,95,cluster.g3ldi.co.uk,7000
EU,cluster.gautxori.com...,124,98,cluster.gautxori.com,7300
EU,cluster.hrdlog.net:7373,496,95,cluster.hrdlog.net,7373
EU,cluster.iz3mez.it:8000,55,95,cluster.iz3mez.it,8000
EU,cluster.lz7aa.com:7300,212,87,cluster.lz7aa.com,7300
EU,cluster.n2wq.com:7373,2263,100,cluster.n2wq.com,7373
EU,cluster.s53m.com:8000,13,81,cluster.s53m.com,8000
EU,cluster.sk4bw.net:8000,164,96,cluster.sk4bw.net,8000
EU,db0erf.de:41113,102,81,db0erf.de,41113
EU,db0erf.de:7300,120,96,db0erf.de,7300
EU,db0ovp.de:4111,18,95,db0ovp.de,4111
EU,db0sue.de:8000,548,95,db0sue.de,8000
EU,dd5xx.dxcluster.net:7000,151,92,dd5xx.dxcluster.net,7000
EU,dj1yfk.de:7000,48,83,dj1yfk.de,7000
EU,dj1yfk.de:7300,22,96,dj1yfk.de,7300
EU,dx.hu:7373,24,86,dx.hu,7373
EU,dx.hu:8000,266,97,dx.hu,8000
EU,dx.hu:9000,663,93,dx.hu,9000
EU,dx.k3lr.com:23,33,97,dx.k3lr.com,23
EU,dx.obninsk.org:41112,45,83,dx.obninsk.org,41112
EU,dx.w1nr.net:23,19,95,dx.w1nr.net,23
EU,dxc.g3lrs.org.uk:7300,38,97,dxc.g3lrs.org.uk,7300
EU,dxc.k1ttt.net:7373,37,77,dxc.k1ttt.net,7373
EU,dxc.mx0nca.uk:7300,51,85,dxc.mx0nca.uk,7300
EU,dxc.mx0nca.uk:7373,72,94,dxc.mx0nca.uk,7373
EU,dxc.nc7j.com:7373,53,93,dxc.nc7j.com,7373
EU,dxc.pe1itr.com:7300,145,98,dxc.pe1itr.com,7300
EU,dxc.pi4cc.net:8000,171,89,dxc.pi4cc.net,8000
EU,dxc.pi4cc.nl:8000,475,94,dxc.pi4cc.nl,8000
EU,dxc.sm7iun.se:7300,14,93,dxc.sm7iun.se,7300
EU,dxc.sm7iun.se:7373,100,97,dxc.sm7iun.se,7373
